DATETIME;DOCUMENT;USERNAME;COMPUTER;PRINTER;COUNT
2019-04-30 13:49:28.955029;Краснодар ГСК 90 06 05 2019 (2).xlsx;brindin_sv;KRMPZX654;krd001242;1
2019-04-30 14:05:02.191696;КПЭ ОС  с 01 02 2019 v 1.xlsx;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 14:05:32.786034;КПЭ ОС  с 01 02 2019 (3).xlsx;boriskina.no;KRMPZX648;Office_mb3;1
2019-04-30 14:19:07.176668;Microsoft Word - Акт приема передачи 201 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:20:05.115280;Китруда 8302609002.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 14:22:30.899330;ЛП-003972-010818[2018]_1.pdf;malafeeva_mm;KRMPZX634;Office_mb2;25
2019-04-30 14:22:33.961889;Приложение.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:22:52.868502;Протокол.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:23:14.103285;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 14:23:26.712902;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:23:39.103764;Счет.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:23:54.119678;Торг 12 201 аук..xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:30:28.596003;Microsoft Word - Заявка 15 06 09 2018 _Ц_Лига фарм 22_;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:30:51.127684;Microsoft Word - Заявка 16 10 09 2018 _Ц_Лига фарм 23_;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:31:01.706013;Microsoft Word - Заявка 17 12 09 2018_ Ц лига фарм 24_;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:31:14.049999;Microsoft Word - Заявка 18 19 09 2018 _Лига фарм 25_;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:31:26.159607;Microsoft Word - Заявка 19 24 09 2018 _Лига фарм 26_;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:31:40.597385;Microsoft Word - Заявка 20 28 09 2018 _Ц_лига фарм 27_;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:31:54.566402;Microsoft Word - Заявка №22  08 10 18_Лига фарм 29_;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 14:33:36.708988;Microsoft Office Outlook - Заметка;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:35:08.570127;Ц_Реддис9_1.pdf;malafeeva_mm;KRMPZX634;Office_mb2;19
2019-04-30 14:51:13.510529;Акт выверкиКаблахова.xls;konstantinova_ls;KRMPZX505;Office_mb1;1
2019-04-30 14:52:12.105404;Microsoft Word - Акт приема передачи 202 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:52:38.527786;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
